"driver_id","constructor_id","round","grid","position","status","as.numeric(Results_DF[, 4]) - as.numeric(Results_DF[, 3])","round_points","accumulated_points","PI","PI_adj"
"alonso","alpine",11,"19","10","+1 Lap",9,7.42363573043798,84.2989148957787,4.21459923714885,4.21473717658477
"bottas","alfa",11,"0","11","+1 Lap",-11,6.5083761151706,99.4410879997497,4.97164565099264,4.97525289178801
"albon","williams",11,"15","12","+1 Lap",3,5.70595880436931,55.375644680236,2.76855461442761,2.76820712822521
"stroll","aston_martin",11,"12","13","+1 Lap",-1,5.00247147691252,61.7978153477075,3.08963674970099,3.09032033770089
"zhou","alfa",11,"13","14","+1 Lap",-1,4.3857170609365,50.8259955475673,2.54109085896235,2.54165175992153
"gasly","alphatauri",11,"14","15","+1 Lap",-1,3.84500226085464,65.8599256725563,3.29272556878588,3.29546677816859
"tsunoda","alphatauri",11,"16","16","+1 Lap",0,3.37095215686815,58.2266256729577,2.91109194520946,2.91326853341678
"vettel","aston_martin",11,"18","17","+1 Lap",1,2.9553476624922,58.5120757617227,2.92536327631545,2.92791892539405
"sainz","ferrari",11,"3","18","Power Unit",-15,2.59098302193428,150.280800079577,7.51342228018667,7.57348932125875
"latifi","williams",11,"17","19","Undertray",-2,2.27154087661232,39.4989650699024,1.97478589442812,1.98188995683219
"perez","red_bull",11,"5","20","Collision damage",-15,1.99148273471456,169.882692194462,8.49343631306249,8.56747715015425
"max_verstappen","red_bull",12,"2","1","Finished",1,24.2612263885053,225.625474449134,10.3365873977135,10.3311432555687
"hamilton","mercedes",12,"4","2","Finished",2,21.2700612052228,177.541335598823,8.1337071383655,8.12719261794491
"russell","mercedes",12,"6","3","Finished",3,18.6476766025428,185.575073039051,8.50175702007299,8.49864186019297
"perez","red_bull",12,"3","4","Finished",-1,16.3486056442394,186.231297838701,8.53182066873982,8.53253379836811
"sainz","ferrari",12,"19","5","Finished",14,14.3329870099961,164.613787089573,7.54145692668041,7.54209757457198
"alonso","alpine",12,"7","6","Finished",1,12.5658738793486,96.8647887751273,4.43766980381858,4.4332111512739
"norris","mclaren",12,"5","7","Finished",-2,11.0166280232844,119.24983587021,5.46319671413395,5.46213081228967
"ocon","alpine",12,"10","8","Finished",2,9.65838859825537,113.191709891656,5.18565558631327,5.18537224023303
"ricciardo","mclaren",12,"9","9","Finished",0,8.46760643254417,76.3132724383327,3.4961424993798,3.4940101776981
"stroll","aston_martin",12,"15","10","Finished",5,7.42363573043798,69.2214510781455,3.17124465051091,3.16962616425471
"vettel","aston_martin",12,"12","11","Finished",1,6.5083761151706,65.0204518768933,2.9787841337741,2.9777668296065
"gasly","alphatauri",12,"14","12","Finished",2,5.70595880436931,71.5658844769256,3.27865025612248,3.27898658656341
"albon","williams",12,"13","13","Finished",0,5.00247147691252,60.3781161571486,2.76610465237322,2.76614670189026
"bottas","alfa",12,"11","14","Finished",-3,4.3857170609365,103.826805060686,4.75662088846753,4.76099352853394
"mick_schumacher","haas",12,"17","15","Finished",2,3.84500226085464,59.6864608637008,2.7344178253105,2.73539947938005
"zhou","alfa",12,"16","16","+6 Laps",0,3.37095215686815,54.1969477044355,2.48292657557382,2.48879909400859
"latifi","williams",12,"18","17","Collision damage",1,2.9553476624922,42.4543127323946,1.94496084734967,1.94865375829792
"kevin_magnussen","haas",12,"20","18","Collision damage",2,2.59098302193428,69.5554021657079,3.18654396284068,3.20229021176383
"leclerc","ferrari",12,"1","19","Accident",-18,2.27154087661232,181.454438241724,8.31297824045769,8.37665003187595
"tsunoda","alphatauri",12,"8","20","Undertray",-12,1.99148273471456,60.2181084076722,2.75877421200158,2.7742236441431
"max_verstappen","red_bull",13,"10","1","Finished",9,24.2612263885053,249.886700837639,10.5642226430976,10.559561055347
"hamilton","mercedes",13,"7","2","Finished",5,21.2700612052228,198.811396804046,8.40496053924777,8.39940518082171
